experiment_group,experiment_id,kind,direction,w_min,w_max,num_steps,seed,prompt_id,prompt_text,params,notes,bucket,worker_id
EXP_D_EXTREME_TRADEOFF_OOD_SPATIAL,1645b5d8317e,baseline,increasing,1.0,2.0,40,42,P_CHAIR_ON_TABLE,A small wooden chair placed directly on top of a dining table.,{},tradeoff demo,checkable-details,0
EXP_D_EXTREME_TRADEOFF_OOD_SPATIAL,9c2d29981879,baseline,increasing,1.0,2.0,40,1337,P_CHAIR_ON_TABLE,A small wooden chair placed directly on top of a dining table.,{},tradeoff demo,checkable-details,1
EXP_D_EXTREME_TRADEOFF_OOD_SPATIAL,260e564b73e4,baseline,increasing,1.0,2.0,40,42,P_COUCH_ON_CEILING,"A large, heavy couch suspended completely upside down from a living room ceiling.",{},tradeoff demo,checkable-details,2
EXP_D_EXTREME_TRADEOFF_OOD_SPATIAL,25fff2f912d1,baseline,increasing,1.0,2.0,40,1337,P_COUCH_ON_CEILING,"A large, heavy couch suspended completely upside down from a living room ceiling.",{},tradeoff demo,checkable-details,3
EXP_D_EXTREME_TRADEOFF_OOD_SPATIAL,49b1bc76e59f,baseline,increasing,1.0,2.0,40,42,P_CAR_ON_ROOF,A modern sports car parked perfectly balancing on the pitched roof of a suburban house.,{},tradeoff demo,checkable-details,0
EXP_D_EXTREME_TRADEOFF_OOD_SPATIAL,9f7b7914a875,baseline,increasing,1.0,2.0,40,1337,P_CAR_ON_ROOF,A modern sports car parked perfectly balancing on the pitched roof of a suburban house.,{},tradeoff demo,checkable-details,1
EXP_D_EXTREME_TRADEOFF_OOD_SPATIAL,fd2e87e69ef0,average_constant,increasing,1.0,2.0,40,42,P_CHAIR_ON_TABLE,A small wooden chair placed directly on top of a dining table.,{},tradeoff demo,checkable-details,0
EXP_D_EXTREME_TRADEOFF_OOD_SPATIAL,acc8ab0c3ddd,average_constant,increasing,1.0,2.0,40,1337,P_CHAIR_ON_TABLE,A small wooden chair placed directly on top of a dining table.,{},tradeoff demo,checkable-details,1
EXP_D_EXTREME_TRADEOFF_OOD_SPATIAL,62e885a336b5,average_constant,increasing,1.0,2.0,40,42,P_COUCH_ON_CEILING,"A large, heavy couch suspended completely upside down from a living room ceiling.",{},tradeoff demo,checkable-details,2
EXP_D_EXTREME_TRADEOFF_OOD_SPATIAL,f2174b2defbb,average_constant,increasing,1.0,2.0,40,1337,P_COUCH_ON_CEILING,"A large, heavy couch suspended completely upside down from a living room ceiling.",{},tradeoff demo,checkable-details,3
